airline_name,flight_count,total_co2,avg_co2_per_flight,airline_name_clean
[United],25741,"31,108,460,000","1,208,517.93",United
[Lufthansa],58488,"30,956,019,000","529,271.29",Lufthansa
[American],21612,"20,319,878,000","940,212.75",American
[Emirates],12076,"17,132,759,000","1,418,744.53",Emirates
[Turkish Airlines],18033,"15,488,329,000","858,888.09",Turkish Airlines
[Qantas| American],7940,"14,412,982,000","1,815,237.03",Qantas
[British Airways],17907,"13,416,916,000","749,255.37",British Airways
[Qatar Airways],9106,"12,499,336,000","1,372,648.36",Qatar Airways
[Qantas| Emirates],6029,"12,003,315,000","1,990,929.67",Qantas
[Azul| United],5836,"11,722,473,000","2,008,648.56",Azul
[Delta],10881,"11,534,827,000","1,060,088.87",Delta
[Lufthansa| United],11278,"11,500,892,000","1,019,763.43",Lufthansa
[KLM],17686,"10,733,905,000","606,915.36",KLM
[Air Canada],8754,"9,049,107,000","1,033,711.10",Air Canada
[LATAM],12660,"8,898,672,000","702,896.68",LATAM
[Air France],13335,"8,725,820,000","654,354.71",Air France
[LATAM| Lufthansa],4859,"8,415,335,000","1,731,906.77",LATAM
[Lufthansa| Singapore Airlines],5453,"8,263,740,000","1,515,448.38",Lufthansa
[China Southern| United],1728,"7,851,100,000","4,543,460.65",China Southern
[Emirates| Qantas],4000,"7,662,886,000","1,915,721.50",Emirates
[ANA| United],3653,"7,493,719,000","2,051,387.63",ANA
[Lufthansa| LATAM],5212,"7,419,265,000","1,423,496.74",Lufthansa
[KLM| Delta],7581,"7,302,997,000","963,328.98",KLM
[LATAM| Qatar Airways],2744,"7,175,446,000","2,614,958.45",LATAM
[China Southern],12492,"6,830,154,000","546,762.25",China Southern
[Air France| Delta],6355,"6,219,573,000","978,689.69",Air France
[Air Canada| United],5693,"6,051,121,000","1,062,905.50",Air Canada
[LATAM| Delta],4498,"5,560,172,000","1,236,143.17",LATAM
[Air Canada| Lufthansa],5420,"5,547,246,000","1,023,477.12",Air Canada
[LATAM| United],3703,"5,359,948,000","1,447,460.98",LATAM
[Lufthansa| Air Canada],5320,"5,273,309,000","991,223.50",Lufthansa
[Air France| KLM],4978,"5,265,431,000","1,057,740.26",Air France
[China Eastern| Lufthansa],4336,"5,206,734,000","1,200,815.04",China Eastern
[British Airways| American],4049,"5,176,867,000","1,278,554.46",British Airways
[Singapore Airlines],3984,"4,887,536,000","1,226,791.16",Singapore Airlines
[Austrian| Lufthansa],7805,"4,259,096,000","545,688.15",Austrian
[China Southern| Delta],598,"4,158,504,000","6,954,020.07",China Southern
[Iberia| Qatar Airways],1750,"4,135,006,000","2,362,860.57",Iberia
[LATAM| Iberia],2733,"4,046,789,000","1,480,713.14",LATAM
[Virgin Australia| Etihad],1982,"3,999,947,000","2,018,136.73",Virgin Australia
[China Southern| American],742,"3,996,632,000","5,386,296.50",China Southern
[Iberia| British Airways],2473,"3,796,629,000","1,535,232.11",Iberia
[Azul| Tap Air Portugal],3404,"3,719,729,000","1,092,752.35",Azul
[COPA| United],3303,"3,695,046,000","1,118,693.91",COPA
[Singapore Airlines| Lufthansa],1866,"3,674,810,000","1,969,351.55",Singapore Airlines
[China Eastern| United],1080,"3,596,045,000","3,329,671.30",China Eastern
[China Eastern| Delta],807,"3,591,465,000","4,450,390.33",China Eastern
[Iberia],4891,"3,574,671,000","730,867.10",Iberia
[SWISS],6966,"3,473,805,000","498,680.02",SWISS
[United| ANA],1600,"3,353,662,000","2,096,038.75",United
[Lufthansa| SWISS],5794,"3,333,943,000","575,413.01",Lufthansa
[SWISS| Lufthansa],2796,"3,325,616,000","1,189,419.17",SWISS
[Ethiopian| United],2078,"3,252,573,000","1,565,242.06",Ethiopian
[LATAM| British Airways],1935,"3,226,345,000","1,667,361.76",LATAM
[China Eastern| American],542,"3,100,892,000","5,721,202.95",China Eastern
[Saudia],3640,"3,070,567,000","843,562.36",Saudia
[Tap Air Portugal],4574,"3,031,216,000","662,705.73",Tap Air Portugal
[Lufthansa| Austrian],5150,"3,006,772,000","583,839.22",Lufthansa
[Lufthansa| EgyptAir],4308,"3,004,833,000","697,500.70",Lufthansa
[Qantas],3031,"2,952,379,000","974,061.04",Qantas
[Austrian| United],2619,"2,933,311,000","1,120,011.84",Austrian
[Etihad],2361,"2,877,089,000","1,218,589.16",Etihad
[China Eastern],4822,"2,859,135,000","592,935.50",China Eastern
[Gol| Tap Air Portugal],2733,"2,806,001,000","1,026,710.94",Gol
[COPA],4301,"2,793,365,000","649,468.73",COPA
[Air India],3325,"2,706,075,000","813,857.14",Air India
[Lufthansa| Avianca],2278,"2,698,301,000","1,184,504.39",Lufthansa
[Avianca],3440,"2,605,901,000","757,529.36",Avianca
[KLM| Air France],2749,"2,585,618,000","940,566.75",KLM
[Qantas| Etihad],1518,"2,570,458,000","1,693,318.84",Qantas
[American| British Airways],1461,"2,569,533,000","1,758,749.49",American
[Qantas| LATAM],1554,"2,543,650,000","1,636,840.41",Qantas
[Air India| Lufthansa],1758,"2,529,780,000","1,439,010.24",Air India
[United| Lufthansa],1649,"2,517,179,000","1,526,488.17",United
[Aer Lingus| British Airways],5133,"2,499,754,000","486,996.69",Aer Lingus
[Lufthansa| THAI],1446,"2,446,519,000","1,691,921.85",Lufthansa
[Lufthansa| Air India],1962,"2,445,257,000","1,246,308.36",Lufthansa
[Gol| American],1896,"2,400,748,000","1,266,217.30",Gol
[Avianca| Lufthansa],1380,"2,290,970,000","1,660,123.19",Avianca
[Singapore Airlines| Turkish Airlines],1190,"2,271,647,000","1,908,947.06",Singapore Airlines
[Lufthansa| Vistara],2177,"2,265,699,000","1,040,743.68",Lufthansa
[Cathay Pacific| British Airways],1080,"2,244,359,000","2,078,110.19",Cathay Pacific
[Ethiopian| Lufthansa],2852,"2,232,577,000","782,811.01",Ethiopian
[China Southern| Singapore Airlines],2707,"2,208,979,000","816,024.75",China Southern
[Lufthansa| ANA],1602,"2,207,337,000","1,377,863.30",Lufthansa
[Qatar Airways| American],1140,"2,155,052,000","1,890,396.49",Qatar Airways
[LATAM| SWISS],1103,"2,140,677,000","1,940,776.97",LATAM
[Qantas| Singapore Airlines],1968,"2,131,982,000","1,083,324.19",Qantas
[China Eastern| ANA],2008,"2,113,257,000","1,052,418.82",China Eastern
[United| Azul],892,"2,074,201,000","2,325,337.44",United
[Avianca| United],1784,"2,026,514,000","1,135,938.34",Avianca
[Iberia| LATAM],1554,"1,990,873,000","1,281,128.06",Iberia
[Avianca| COPA],3027,"1,989,771,000","657,340.93",Avianca
[Qantas| Malaysia Airlines],1867,"1,966,233,000","1,053,151.04",Qantas
[British Airways| LATAM],1364,"1,947,751,000","1,427,969.94",British Airways
[Qantas| British Airways],1167,"1,885,500,000","1,615,681.23",Qantas
[ANA],1420,"1,883,336,000","1,326,292.96",ANA
[Finnair],3547,"1,868,082,000","526,665.35",Finnair
[Lufthansa| SAS],3749,"1,833,436,000","489,046.68",Lufthansa
[Etihad| EgyptAir],1275,"1,780,209,000","1,396,242.35",Etihad
[China Southern| COPA],271,"1,771,116,000","6,535,483.39",China Southern
[LATAM| American],1347,"1,747,096,000","1,297,027.47",LATAM
[China Southern| ANA],1645,"1,689,937,000","1,027,317.33",China Southern
[Austrian],4706,"1,681,571,000","357,324.90",Austrian
[Brussels Airlines| Lufthansa],3672,"1,677,305,000","456,782.41",Brussels Airlines
[Lufthansa| British Airways],1819,"1,662,807,000","914,132.49",Lufthansa
[China Southern| China Eastern],2008,"1,634,428,000","813,958.17",China Southern
[Hainan| Brussels Airlines],1255,"1,619,657,000","1,290,563.35",Hainan
[Avianca| British Airways],627,"1,614,840,000","2,575,502.39",Avianca
[SWISS| LATAM],1123,"1,601,556,000","1,426,140.69",SWISS
[SAS| United],1625,"1,585,966,000","975,979.08",SAS
[British Airways| Qatar Airways],1468,"1,585,123,000","1,079,784.06",British Airways
[American| JAL],792,"1,548,330,000","1,954,962.12",American
[SWISS| Singapore Airlines],740,"1,539,803,000","2,080,814.86",SWISS
[LOT],2766,"1,514,538,000","547,555.31",LOT
[Singapore Airlines| SAS],764,"1,510,305,000","1,976,839.01",Singapore Airlines
[Lufthansa| Tap Air Portugal],2443,"1,504,926,000","616,015.55",Lufthansa
[LATAM| Air France],789,"1,504,742,000","1,907,150.82",LATAM
[British Airways| Iberia],1749,"1,503,708,000","859,753.00",British Airways
[Aer Lingus| Singapore Airlines],916,"1,490,398,000","1,627,072.05",Aer Lingus
[Air France| LATAM],923,"1,481,069,000","1,604,625.14",Air France
[Cathay Pacific| American],891,"1,466,639,000","1,646,059.48",Cathay Pacific
[EgyptAir| Lufthansa],1961,"1,465,220,000","747,180.01",EgyptAir
[American| Qantas],694,"1,439,250,000","2,073,847.26",American
[THAI],1086,"1,436,717,000","1,322,943.83",THAI
[China Eastern| China Southern],2151,"1,433,084,000","666,240.82",China Eastern
[American| Qatar Airways],877,"1,432,076,000","1,632,925.88",American
[Azul| United| ANA],344,"1,426,801,000","4,147,677.33",Azul
[ANA| Lufthansa],725,"1,373,465,000","1,894,434.48",ANA
[Qantas| Air Canada],769,"1,353,307,000","1,759,827.05",Qantas
[Singapore Airlines| SWISS],580,"1,352,777,000","2,332,374.14",Singapore Airlines
[Azul| COPA],1463,"1,352,706,000","924,611.07",Azul
[Qantas| SriLankan],1076,"1,350,823,000","1,255,411.71",Qantas
[British Airways| Malaysia Airlines],882,"1,343,610,000","1,523,367.35",British Airways
[Virgin Australia| United],820,"1,331,549,000","1,623,840.24",Virgin Australia
[SAS| Lufthansa],2375,"1,330,595,000","560,250.53",SAS
[Gol| United],965,"1,329,147,000","1,377,354.40",Gol
[Austrian| Singapore Airlines],963,"1,326,084,000","1,377,034.27",Austrian
[China Southern| Air Canada],595,"1,322,852,000","2,223,280.67",China Southern
[United| Air Canada],1114,"1,321,940,000","1,186,660.68",United
[Avianca| Iberia],584,"1,321,497,000","2,262,837.33",Avianca
[SAS],4241,"1,321,254,000","311,543.03",SAS
[SWISS| United],1159,"1,314,704,000","1,134,343.40",SWISS
[COPA| Avianca],1438,"1,303,430,000","906,418.64",COPA
[Ethiopian],1465,"1,300,721,000","887,864.16",Ethiopian
