country,total_co2
United States,"261,839,566,000"
Australia,"56,920,581,000"
India,"51,205,490,000"
United Kingdom,"44,692,234,000"
Brazil,"42,225,696,000"
Japan,"36,952,591,000"
Germany,"31,180,932,000"
South Africa,"27,670,965,000"
Mexico,"23,653,702,000"
Canada,"23,094,698,000"
Columbia,"19,721,846,000"
Philippines,"18,853,700,000"
Argentina,"18,718,304,000"
Singapore,"18,132,341,000"
Thailand,"18,051,433,000"
Chile,"17,603,755,000"
South Korea,"17,178,620,000"
Peru,"17,048,347,000"
Panama,"15,368,880,000"
Italy,"15,113,010,000"
China,"15,036,763,000"
Malaysia,"14,622,858,000"
France,"14,411,015,000"
Spain,"14,228,483,000"
Dublin,"14,043,145,000"
Denmark,"13,862,294,000"
Portugal,"13,855,480,000"
Belgium,"13,824,084,000"
Zurich,"13,743,109,000"
Indonesia,"13,741,971,000"
Austria,"13,532,024,000"
Egypt,"13,199,062,000"
Rome,"13,137,319,000"
Turkey,"13,091,419,000"
Sweden,"12,945,522,000"
Vietnam,"12,494,231,000"
Netherlands,"12,452,566,000"
Greece,"12,340,971,000"
Qatar,"12,247,616,000"
Kenya,"11,865,120,000"
Norway,"11,805,814,000"
United Arab Emirates,"11,642,383,000"
Taiwan,"10,362,309,000"
Russia,"8,401,097,000"
Ethiopia,"6,512,623,000"
Morocco,"6,269,423,000"
Algeria,"5,446,745,000"
