origin,destination,num_flights,total_route_co2,avg_co2_per_flight,avg_price
SYD,LHR,946,2028456000,2144245.243,1788.752643
SYD,DUB,938,1997197000,2129207.889,2027.353945
DUB,SYD,964,1994960000,2069460.581,1817.828838
BOG,MEL,706,1933413000,2738545.326,3773.436261
SYD,CPH,824,1888782000,2292211.165,2684.734223
CDG,SYD,906,1876823000,2071548.565,1828.987859
CPH,SYD,929,1876762000,2020195.91,1927.533907
SYD,CDG,857,1852992000,2162184.364,1967.568261
SYD,MXP,866,1847765000,2133677.829,2045.093533
BRU,SYD,901,1847376000,2050361.82,1839.630411
SYD,MAN,833,1841308000,2210453.782,2357.740696
SYD,FRA,876,1824377000,2082622.146,1905.932648
VCP,SYD,353,1806968000,5118889.518,6594.764873
SYD,MAD,787,1801257000,2288763.659,2258.222363
MUC,SYD,893,1800426000,2016154.535,2048.772676
SYD,MUC,836,1778534000,2127433.014,2260.70933
SCL,NRT,748,1777241000,2375990.642,2673.875668
SYD,BRU,790,1761586000,2229855.696,2293.274684
MEL,LHR,864,1755896000,2032287.037,2024.490741
SCL,ICN,778,1753865000,2254325.193,2906.546272
SYD,CAI,910,1735858000,1907536.264,2706.381319
VIE,SYD,859,1711034000,1991890.57,2035.859139
DUB,MEL,865,1698205000,1963242.775,1678.520231
MUC,MEL,831,1694592000,2039220.217,2291.732852
MEL,DUB,806,1674964000,2078119.107,2362.143921
ATH,SYD,886,1672477000,1887671.558,2016.402935
CAI,MEL,950,1670645000,1758573.684,2086.870526
BOG,ICN,920,1657534000,1801667.391,2845.157609
SYD,OSL,764,1651068000,2161083.77,2287.441099
SYD,AMS,751,1649267000,2196094.541,2290.11984
FRA,SYD,837,1646543000,1967195.938,2099.431302
CDG,MEL,784,1644377000,2097419.643,1861.178571
SYD,VIE,805,1640980000,2038484.472,2152.583851
MEL,CPH,773,1640817000,2122661.061,2809.09185
SYD,ZRH,730,1638053000,2243908.219,2466.956164
MEL,JFK,770,1631622000,2118989.61,1646.814286
SYD,ARN,786,1625045000,2067487.277,2274.592875
SYD,LGW,779,1609561000,2066188.703,4547.115533
PVG,IAH,660,1593280000,2414060.606,5286.234848
SYD,FCO,806,1593220000,1976699.752,2035.894541
SYD,LIS,662,1592269000,2405240.181,2611.622356
PVG,MEX,615,1585833000,2578590.244,5811.173984
SCL,DEL,636,1578611000,2482092.767,4036.548742
MEL,CAI,893,1576833000,1765770.437,2549.443449
SYD,YYZ,880,1558093000,1770560.227,1680.5125
MEL,MAN,739,1557458000,2107520.974,2218.493911
MEL,MIA,828,1556846000,1880248.792,1693.594203
MEL,MUC,754,1539478000,2041748.011,2716.750663
MEL,LGW,705,1534658000,2176819.858,5163.61844
YYZ,SYD,904,1526617000,1688735.619,1549.497788
PVG,GRU,452,1526137000,3376409.292,6859.267699
MEL,YYZ,838,1522312000,1816601.432,1747.108592
CAI,SYD,887,1522115000,1716025.93,2038.136415
PVG,ORD,642,1516332000,2361887.85,4710.364486
SYD,ORD,904,1515775000,1676742.257,1431.965708
ATH,MEL,807,1509928000,1871038.414,2053.954151
PVG,SCL,381,1491044000,3913501.312,8872.895013
GRU,BLR,577,1482272000,2568928.943,4570.381282
YYZ,SIN,782,1480693000,1893469.309,2632.992327
BOM,YYZ,887,1465080000,1651724.915,2709.357384
CPH,MEL,757,1462802000,1932367.239,1757.017173
DEL,ORD,799,1456222000,1822555.695,2278.157697
MEL,LAX,977,1451028000,1485187.308,1096.996929
MEL,CLT,800,1449609000,1812011.25,1627.98375
CNF,NRT,586,1449451000,2473465.87,2074.940273
DEL,LAX,706,1444355000,2045828.612,2579.130312
SYD,ATH,727,1444092000,1986371.389,2270.192572
SYD,JFK,701,1437338000,2050410.842,1704.868759
DEL,SFO,725,1436366000,1981194.483,2841.172414
SYD,MCO,867,1431702000,1651328.72,1445.198385
DEL,BOG,701,1428147000,2037299.572,2996.500713
MEL,MCO,789,1421101000,1801141.952,1553.019011
DEL,YYZ,859,1419072000,1652004.657,2839.610012
BOM,AEP,692,1416248000,2046601.156,3373.021676
SYD,CNF,581,1409068000,2425246.127,1935.228916
MEL,CDG,707,1406952000,1990031.117,2218.461103
GRU,LHR,764,1396302000,1827620.419,2794.689791
BOG,NRT,727,1393232000,1916412.655,2508.924347
MEL,FRA,718,1387715000,1932750.696,1930.587744
FRA,MEL,715,1374038000,1921731.469,2076.60979
MEL,MEX,705,1373746000,1948575.887,2006.06383
MEL,AMS,659,1372565000,2082799.697,2718.7739
MEL,BRU,660,1364670000,2067681.818,2452.622727
SCL,MNL,356,1359934000,3820039.326,5185.957865
SCL,HND,538,1357822000,2523832.714,3380.745353
DEL,AEP,589,1355482000,2301327.674,3792.684211
BRU,MEL,686,1349965000,1967879.009,1769.517493
MUC,AEP,862,1343220000,1558259.861,1707.480278
GRU,FRA,642,1334696000,2078965.732,3228.386293
SYD,NBO,703,1328458000,1889698.435,3479.958748
BOG,BOM,560,1326628000,2368978.571,3437.221429
FRA,CNF,1169,1324209000,1132770.744,1045.01882
MEL,MXP,659,1322128000,2006264.036,2469.981791
MEL,ZRH,655,1319266000,2014146.565,2604.035115
SYD,IAH,779,1316889000,1690486.521,1912.007702
BOG,BKK,534,1312921000,2458653.558,3608.340824
MEL,FCO,691,1309093000,1894490.593,2278.761216
DEL,MEX,640,1307244000,2042568.75,2981.94375
VIE,MEL,675,1306033000,1934863.704,1920.534815
DEL,SYD,942,1304731000,1385064.756,1991.299363
SCL,BKK,492,1302964000,2648300.813,3367.418699
DEL,IAH,675,1302750000,1930000,2660.86963
AEP,ICN,529,1302488000,2462170.132,6072.438563
PVG,BOG,505,1302323000,2578857.426,5959.714851
YYZ,BLR,844,1301899000,1542534.36,2019.582938
SYD,IST,627,1294214000,2064137.161,2355.325359
VCP,MEL,196,1289653000,6579862.245,8253.55102
GRU,NRT,484,1286966000,2659020.661,2974.084711
MEL,ATH,657,1286429000,1958035.008,2652.713851
MEL,DEL,1028,1284919000,1249921.206,1405.607977
DEL,JFK,697,1284820000,1843357.245,1954.704448
GRU,MUC,613,1281795000,2091019.576,3536.055465
DEL,PHX,626,1281489000,2047107.029,2840.771565
GRU,DEL,554,1280917000,2312124.549,4078.66787
PVG,MCO,617,1280707000,2075700.162,4159.465154
DEL,CLT,700,1279498000,1827854.286,2646.645714
MEL,ORD,761,1276603000,1677533.509,1602.34954
MEL,BOG,613,1273919000,2078171.289,2230.794454
DEL,MIA,663,1269782000,1915206.637,2387.384615
MEL,LIS,513,1269381000,2474426.901,3066.060429
BOM,MEL,917,1269302000,1384189.749,1800.928026
SYD,CLT,730,1268379000,1737505.479,1475.350685
YYZ,NRT,886,1260919000,1423159.142,1679.334086
YYZ,BKK,760,1258487000,1655903.947,2513.95
YYZ,DEL,924,1253932000,1357069.264,1789.287879
GRU,HND,471,1252815000,2659904.459,3456.585987
BOG,SIN,498,1251456000,2512963.855,3682.401606
SYD,MEX,639,1248111000,1953225.352,2158.380282
DEL,MCO,662,1247955000,1885128.399,2388.833837
MEL,MAD,561,1247542000,2223782.531,2816.108734
GRU,VIE,553,1244070000,2249674.503,3549.285714
VCP,NRT,369,1244012000,3371306.233,6526.03794
BOG,LHR,789,1243292000,1575782.003,1718.669202
BOG,CPT,524,1241482000,2369240.458,3645.080153
YYZ,CPT,721,1236608000,1715128.988,1644.424411
YYZ,MNL,577,1236404000,2142814.558,3298.863085
SCL,DOH,678,1234342000,1820563.422,3541.811209
GRU,MNL,355,1226604000,3455222.535,4795.509859
SYD,MIA,689,1222351000,1774094.34,1511.817126
CTU,JFK,467,1219906000,2612218.415,5045.398287
CNF,ICN,500,1218076000,2436152,3120.09
BOG,DEL,611,1214584000,1987862.52,3017.412439
CNF,FRA,690,1209453000,1752830.435,2689.05942
MEL,OSL,585,1207926000,2064830.769,2574.649573
MEL,IAH,713,1207229000,1693168.303,2025.997195
SYD,BOG,617,1207094000,1956392.22,1847.638574
BOG,SGN,439,1205437000,2745870.159,3783.446469
CTU,IAH,500,1204817000,2409634,4999.42
MEL,SFO,766,1198833000,1565056.136,1370.52611
SHA,BOG,341,1194154000,3501917.889,7285.615836
DUB,BLR,1131,1193770000,1055499.558,937.7656941
SYD,VCP,331,1193438000,3605552.87,5012.561934
CNF,HND,503,1190383000,2366566.6,2364.741551
SCL,MAD,693,1189408000,1716317.46,1823.017316
MEL,ARN,615,1188826000,1933050.407,2264.003252
