airline_name_clean,AVERAGE of total_co2,SUM of total_co2,AVERAGE of avg_co2_per_flight,SUM of avg_co2_per_flight
Aegean,"31,953,582","7,796,674,000","1,000,982.17","244,239,650.64"
Aer Lingus,"70,505,693","14,242,150,000","1,196,208.88","241,634,193.82"
Aerolineas Argentinas,"35,493,775","3,939,809,000","2,596,431.77","288,203,926.58"
Aeromexico,"56,527,256","2,430,672,000","1,938,349.92","83,349,046.48"
Air Algerie,"24,736,000","74,208,000","577,154.92","1,731,464.77"
Air Arabia,"5,295,881","222,427,000","855,286.55","35,922,035.21"
Air Arabia Maroc,"578,500","1,157,000","233,500","467,000"
Air Astana,"28,487,250","113,949,000","993,805.78","3,975,223.10"
Air Austral,"6,000,000","6,000,000","1,500,000","1,500,000"
Air Baltic,"18,938,688","303,019,000","789,425.13","12,630,802.13"
Air Cairo,"1,547,000","10,829,000","893,793.65","6,256,555.56"
Air Canada,"137,666,238","35,242,557,000","1,489,155.86","381,223,899.66"
Air China,"28,804,386","2,016,307,000","1,367,876.96","95,751,387.22"
Air Dolomiti,"6,421,211","122,003,000","570,862.44","10,846,386.45"
Air Europa,"38,317,048","1,609,316,000","1,140,210.31","47,888,833.19"
Air France,"128,619,916","29,068,101,000","1,142,847.93","258,283,631.32"
Air India,"59,787,117","16,919,754,000","1,370,637.51","387,890,414.14"
Air Macau,"4,682,000","18,728,000","450,159.31","1,800,637.23"
Air Malta,"6,393,500","38,361,000","494,247.98","2,965,487.88"
Air Mauritius,"16,640,500","33,281,000","2,369,367","4,738,733"
Air Moldova,"3,088,500","12,354,000","894,635.42","3,578,541.67"
Air New Zealand,"48,081,900","480,819,000","1,500,637.97","15,006,379.66"
Air Niugini,"839,000","839,000","839,000","839,000"
Air Serbia,"14,473,458","347,363,000","737,787.40","17,706,897.64"
Air Seychelles,"1,190,000","1,190,000","595,000","595,000"
Air Tahiti Nui,"17,247,000","86,235,000","1,255,036.36","6,275,181.82"
Air Tanzania,"856,000","856,000","856,000","856,000"
Air Transat,"7,767,701","831,144,000","924,188.78","98,888,199.95"
Air-India Express,"1,802,629","63,092,000","780,874","27,330,583"
AirAsia (India),"11,607,909","127,687,000","609,422.46","6,703,647.03"
AirAsia X,"2,083,750","8,335,000","895,188","3,580,750"
